Date,sector,Rank,value
3/16/2020,Communication Services,Rank A: Real-Time Performance,-0.0699
3/16/2020,Consumer Staples,Rank A: Real-Time Performance,-0.0999
3/16/2020,Health Care,Rank A: Real-Time Performance,-0.1044
3/16/2020,Information Technology,Rank A: Real-Time Performance,-0.1144
3/16/2020,Utilities,Rank A: Real-Time Performance,-0.1145
3/16/2020,Consumer Discretionary,Rank A: Real-Time Performance,-0.1154
3/16/2020,Materials,Rank A: Real-Time Performance,-0.1208
3/16/2020,Industrials,Rank A: Real-Time Performance,-0.1363
3/16/2020,Real Estate,Rank A: Real-Time Performance,-0.1391
3/16/2020,Financials,Rank A: Real-Time Performance,-0.1399
3/16/2020,Energy,Rank A: Real-Time Performance,-0.1655
3/16/2020,Utilities,Rank B: 1 Day Performance,0.0841
3/16/2020,Consumer Staples,Rank B: 1 Day Performance,0.0695
3/16/2020,Real Estate,Rank B: 1 Day Performance,0.092
3/16/2020,Information Technology,Rank B: 1 Day Performance,0.0692
3/16/2020,Materials,Rank B: 1 Day Performance,0.0783
3/16/2020,Health Care,Rank B: 1 Day Performance,0.0555
3/16/2020,Financials,Rank B: 1 Day Performance,0.0608
3/16/2020,Industrials,Rank B: 1 Day Performance,0.0884
3/16/2020,Consumer Discretionary,Rank B: 1 Day Performance,0.1196
3/16/2020,Communication Services,Rank B: 1 Day Performance,0.1323
3/16/2020,Energy,Rank B: 1 Day Performance,0.0863
3/16/2020,Consumer Staples,Rank C: 5 Day Performance,-0.0793
3/16/2020,Health Care,Rank C: 5 Day Performance,-0.0665
3/16/2020,Utilities,Rank C: 5 Day Performance,-0.067
3/16/2020,Communication Services,Rank C: 5 Day Performance,-0.1321
3/16/2020,Information Technology,Rank C: 5 Day Performance,-0.1312
3/16/2020,Materials,Rank C: 5 Day Performance,-0.1426
3/16/2020,Financials,Rank C: 5 Day Performance,-0.1047
3/16/2020,Industrials,Rank C: 5 Day Performance,-0.2428
3/16/2020,Real Estate,Rank C: 5 Day Performance,-0.052
